"s","design_x","design_y","description"
,8,79,Crossable
,8,80,Crossable
,8,81,Crossable
,8,82,Crossable
,8,83,Crossable
,8,84,Crossable
,8,85,Crossable
,8,86,Crossable
,8,87,Crossable
,8,88,Crossable
,8,89,Crossable
,8,90,Crossable
,8,91,Crossable
,8,92,Crossable
,8,93,Crossable
,8,94,Crossable
,8,95,Crossable
,8,96,Crossable
,8,97,Crossable
,8,98,Crossable
,8,99,Crossable
,8,100,Crossable
,8,101,Crossable
,8,102,Crossable
,8,103,Crossable
,8,104,Shelf
,8,105,Shelf
,8,106,Shelf
,8,107,Wall
,8,108,Wall
,9,1,Wall
,9,2,Wall
,9,3,Crossable
,9,4,Crossable
,9,5,Crossable
,9,6,Crossable
,9,7,Crossable
,9,8,Crossable
,9,9,Crossable
,9,10,Crossable
,9,11,Crossable
,9,12,Crossable
,9,13,Crossable
,9,14,Crossable
,9,15,Crossable
,9,16,Crossable
,9,17,Crossable
,9,18,Crossable
,9,19,Crossable
,9,20,Crossable
,9,21,Crossable
,9,22,Crossable
,9,23,Crossable
,9,24,Crossable
,9,25,Crossable
,9,26,Crossable
,9,27,Crossable
,9,28,Crossable
,9,29,Crossable
,9,30,Crossable
,9,31,Crossable
,9,32,Crossable
,9,33,Crossable
,9,34,Crossable
,9,35,Crossable
,9,36,Crossable
,9,37,Crossable
,9,38,Crossable
,9,39,Crossable
,9,40,Crossable
,9,41,Crossable
,9,42,Crossable
,9,43,Crossable
,9,44,Crossable
,9,45,Crossable
,9,46,Crossable
,9,47,Crossable
,9,48,Crossable
,9,49,Crossable
,9,50,Crossable
,9,51,Crossable
,9,52,Crossable
,9,53,Crossable
,9,54,Crossable
,9,55,Crossable
,9,56,Crossable
,9,57,Crossable
,9,58,Crossable
1,9,59,Crossable
,9,60,Crossable
,9,61,Crossable
,9,62,Crossable
2,9,63,Crossable
,9,64,Crossable
,9,65,Crossable
,9,66,Crossable
,9,67,Crossable
,9,68,Crossable
,9,69,Crossable
,9,70,Crossable
,9,71,Crossable
,9,72,Crossable
,9,73,Crossable
,9,74,Crossable
,9,75,Crossable
,9,76,Crossable
,9,77,Crossable
,9,78,Crossable
,9,79,Crossable
,9,80,Crossable
,9,81,Crossable
,9,82,Crossable
,9,83,Crossable
,9,84,Crossable
,9,85,Crossable
,9,86,Crossable
,9,87,Crossable
,9,88,Crossable
,9,89,Crossable
,9,90,Crossable
,9,91,Crossable
,9,92,Crossable
,9,93,Crossable
,9,94,Crossable
,9,95,Crossable
,9,96,Crossable
,9,97,Crossable
,9,98,Crossable
,9,99,Crossable
,9,100,Crossable
,9,101,Crossable
,9,102,Crossable
,9,103,Crossable
,9,104,Shelf
,9,105,Shelf
,9,106,Shelf
,9,107,Wall
,9,108,Wall
,10,1,Wall
,10,2,Wall
,10,3,Crossable
,10,4,Crossable
,10,5,Crossable
,10,6,Crossable
,10,7,Crossable
,10,8,Crossable
,10,9,Crossable
,10,10,Crossable
,10,11,Crossable
,10,12,Crossable
,10,13,Crossable
,10,14,Crossable
,10,15,Crossable
,10,16,Crossable
,10,17,Crossable
,10,18,Crossable
,10,19,Crossable
,10,20,Crossable
1,10,21,Crossable
,10,22,Crossable
,10,23,Crossable
,10,24,Crossable
,10,25,Crossable
,10,26,Crossable
,10,27,Crossable
,10,28,Crossable
,10,29,Crossable
,10,30,Crossable
,10,31,Crossable
,10,32,Crossable
,10,33,Crossable
,10,34,Crossable
,10,35,Crossable
,10,36,Crossable
,10,37,Crossable
,10,38,Crossable
,10,39,Crossable
,10,40,Crossable
,10,41,Crossable
,10,42,Crossable
,10,43,Crossable
,10,44,Crossable
,10,45,Crossable
,10,46,Crossable
,10,47,Crossable
,10,48,Crossable
,10,49,Crossable
,10,50,Crossable
,10,51,Crossable
,10,52,Crossable
,10,53,Crossable
,10,54,Crossable
,10,55,Crossable
,10,56,Crossable
,10,57,Crossable
,10,58,Crossable
,10,59,Crossable
,10,60,Crossable
1,10,61,Crossable
1,10,62,Crossable
,10,63,Crossable
2,10,64,Crossable
2,10,65,Crossable
2,10,66,Crossable
6,10,67,Crossable
6,10,68,Crossable
8,10,69,Crossable
5,10,70,Crossable
6,10,71,Crossable
3,10,72,Crossable
,10,73,Crossable
,10,74,Crossable
,10,75,Crossable
,10,76,Crossable
,10,77,Crossable
,10,78,Crossable
,10,79,Crossable
,10,80,Crossable
,10,81,Crossable
,10,82,Crossable
,10,83,Crossable
1,10,84,Crossable
,10,85,Crossable
1,10,86,Crossable
,10,87,Crossable
,10,88,Crossable
,10,89,Crossable
,10,90,Crossable
,10,91,Crossable
,10,92,Crossable
,10,93,Crossable
